Iteration,Parameters,RMSE,R-squared
1,[0.74620085 1.87684159],483.32356095019935,0.23811165092169118
2,[0.54358498 1.97843025],216.43704755148494,0.3985083808404536
3,[0.58786747 1.95673641],106.9091490855871,0.7707676547986502
4,[0.45042453 2.03801901],205.2059449947768,-0.1594304352945426
5,[0.54238375 1.97020017],786.9656189604948,0.033526803856459564
6,[0.70582172 1.90316051],203.40877169325657,0.5300832064032976
7,[0.55991665 1.97023505],189.86375107071407,0.3863609724922832
8,[0.50514458 2.00498187],196.0004768795324,0.17793549229980343
9,[0.54710679 1.97677154],290.50896740392074,0.3467544522013909
10,[0.51684438 1.99494623],232.44201470022338,0.2306776450731598
11,[0.53899213 1.98203015],156.22235438381378,0.4922038262625156
12,[0.51151072 2.00145486],191.331255625076,0.09754545449643848
13,[0.59672871 1.95571976],149.64993644642246,0.28804141895443847
14,[0.49004338 2.00950973],246.00192039565627,0.24797429443687713
15,[0.66505418 1.91993404],159.22460711721624,0.6504403725730621
16,[0.51295199 1.99452752],160.9549364987283,0.5821957322717097
17,[0.47006829 2.02807691],167.88799424093057,0.26649980708913057
18,[0.60270921 1.95178248],114.8631270853431,0.21697471668506907
19,[0.48854597 2.01482551],206.97544698773734,-0.1636734741731145
20,[0.72905936 1.89110292],244.87608024017922,0.46065293125458506
21,[0.45848762 2.03093559],226.10627813206088,0.23448014906822268
22,[0.76882781 1.87783883],199.30063412422285,0.534351818449986
23,[0.56396538 1.97388205],201.71240161273982,0.16589593253939539
24,[0.43379399 2.04885396],262.86602101679443,0.14635184166174886
25,[0.64278369 1.92591382],432.35160165620357,0.18118097456868876
26,[0.51492258 1.99785711],156.10674822025587,0.3385399132206033
27,[0.36668677 2.09665444],352.970929444767,-0.04058142616980165
28,[0.45897562 2.03151774],238.2673404081855,0.07261461966465432
29,[0.31170739 2.14206013],338.04915189515816,-0.2976167552501048
30,[0.50617862 2.0017122 ],221.72314523455145,0.31896174095585894
31,[0.56700076 1.96811419],101.81950730737931,0.3812531858107131
32,[0.54875166 1.97957764],208.7288041055896,0.07108014767463244
33,[0.66554936 1.91834905],113.83396253347054,0.8113608612745434
34,[0.76439491 1.8716845 ],472.66226583495626,0.25189722656058144
35,[0.47907395 2.02084083],183.81979442333548,0.112147203766091
36,[0.75958218 1.87689044],241.75462403646588,0.5305189558124422
37,[0.59756734 1.94082086],512.9772790425206,0.043732479759087006
38,[0.50780104 2.00407911],159.49822682452222,-0.01260351098527246
39,[0.37962779 2.08561914],269.19064872997177,0.0026688936598354696
40,[0.48357958 2.01563899],264.05691707948137,0.07237350539626519
41,[0.56371599 1.96981884],144.3421606678431,0.4242899279707949
42,[0.50124057 2.00506064],206.0264114724184,0.32237924077903857
43,[0.56667631 1.9664073 ],147.26612580707166,0.727483057214305
44,[0.55262432 1.97388952],221.76182156991848,0.42343246601958073
45,[0.51604077 1.99804244],192.14075301251157,0.3385954745405986
46,[0.40718037 2.05863339],359.5968835214034,-0.16521340830973785
47,[0.53920389 1.98841055],198.56724719391076,-0.18664651068898963
48,[0.48573768 2.01242285],198.08202008691447,0.32893660235056377
49,[0.41493279 2.06423052],233.82513594733152,-0.017369861735196945
50,[0.50333541 2.00125227],237.73173646263615,0.29880776163595146
51,[0.45022514 2.02201503],781.4431257238608,0.037183989730892764
52,[0.66177117 1.92094571],174.04155911020231,0.5843814395919861
53,[0.56957198 1.96886255],179.56231117925444,0.2842559764703011
54,[0.5998319  1.94273286],484.20243046078633,0.15308853621207164
55,[0.49888959 2.00686018],195.0416976980816,0.4474252553251349
56,[0.45615464 2.03209046],296.7937394235755,0.18900311152413463
57,[0.48629129 2.01386532],219.62689547954741,0.09988622041776618
58,[0.53350493 1.98413422],324.0123075922101,0.13655091342953896
59,[0.6081313  1.94660177],128.0603345125376,0.6432779307725717
60,[0.29948865 2.15831655],340.53738248918205,-0.35867132174979366
61,[0.57651901 1.9628324 ],227.41323538927662,0.3261144490366734
62,[0.43467208 2.049027  ],216.05918533031814,0.021978860210065454
63,[0.4949456  2.00944747],222.2793989788318,-0.12726340810474657
64,[0.66549455 1.90478435],786.9206305240368,0.050152916300554296
65,[0.59469427 1.94617713],471.948753879188,0.1661206327397201
66,[0.4494517  2.03372789],200.16386889930553,0.25008493416157584
67,[0.65579894 1.92612908],120.78940139632786,0.6741359753600471
68,[0.36608788 2.08368675],850.1409164605218,-0.10811254776564816
69,[0.60397441 1.95086938],138.49582416060684,0.6120306582282464
70,[0.59053926 1.95815545],213.6719458431194,0.3648606763348261
71,[0.52525185 1.9925053 ],151.78171640911717,0.5390409492167034
72,[0.72405206 1.89225057],437.9946639696681,0.23563014958990014
73,[0.57100806 1.96594482],206.403524782004,0.25095429749647036
74,[0.84931752 1.84232937],460.18963547434555,0.20396579765851697
75,[0.4908213  2.01063923],195.47135966781346,0.23935661150113308
76,[0.48468759 2.01886809],186.17747178008068,0.0933754312098809
77,[0.55899091 1.96582636],777.8305341583527,0.05851083258817524
78,[0.52617079 1.98896682],202.27662300794196,0.3868947108376609
79,[0.55548304 1.97531306],187.16176623674798,0.41228180758717814
80,[0.39319874 2.07713902],286.35548796564285,-0.09309547527380713
81,[0.47775841 2.02152339],174.09561622464724,0.05795399289673453
82,[0.58882448 1.95832734],154.18596894619108,0.06552521401767075
83,[0.76126567 1.87465209],476.9237949457847,0.21862224170787858
84,[0.42788178 2.05150414],160.03267672803622,0.050239507682079965
85,[0.52336776 1.98959781],239.95615891665193,0.2799013510488706
86,[0.50387567 2.00598518],157.47784130469492,0.2829960562140541
87,[0.77738739 1.87473364],261.4975028321353,0.459172944200932
88,[0.54420131 1.97050087],771.9020303479377,0.07162657316785459
89,[0.70657366 1.89751141],474.29134942592367,0.2363188455630717
90,[0.69083041 1.90466712],244.56160061126286,0.532469284886077
91,[0.50602441 2.00102043],127.14013484841965,0.6357174316335692
92,[0.54869122 1.97480355],248.0613423762151,0.3991970342778758
93,[0.77542413 1.86368156],484.9704062823877,0.26028850769590184
94,[0.65509572 1.91544558],477.4572447377841,0.012472270909188676
95,[0.52874559 1.98759374],199.0821391552954,0.41176686352105873
96,[0.5237172  1.99114178],182.82747774017034,0.27841259082688274
97,[0.40624036 2.07387854],222.45159071956635,-0.44309835685452215
98,[0.54222475 1.98581063],171.82220617865255,-0.19285922793172627
99,[0.57943041 1.96025694],143.36566850884262,0.5270442964282507
100,[0.51489099 1.98733451],773.7354852715252,0.07600756093938266
